open,high,low,volume,close
1.1242,1.1245,1.12256,92534.7988,1.12341
1.12303,1.12437,1.12226,95033.3984,1.12364
1.12297,1.12338,1.11348,89844.9004,1.11525
1.1155,1.12129,1.11479,90526.7988,1.11794
1.11789,1.12716,1.1175,314279.9981,1.12536
1.12495,1.12565,1.1239,322762.9063,1.12541
1.12843,1.12867,1.12618,95613.1992,1.12661
1.12653,1.12777,1.12581,96542.7012,1.12712
1.12732,1.13135,1.12597,88190,1.1303
1.1301,1.1318,1.12909,89909.1016,1.13027
1.13045,1.13749,1.12973,307598.3047,1.13653
1.13653,1.13659,1.13405,376632.7969,1.1357
1.13613,1.13643,1.13403,93931.4004,1.13432
1.13432,1.13625,1.13432,95080.0996,1.13544
1.13575,1.13789,1.13444,92477.5996,1.13542
1.13504,1.13522,1.13086,89811.0996,1.13154
1.13154,1.13572,1.13064,314699.7969,1.13376
1.13375,1.13976,1.1335,370417.9961,1.13893
1.13867,1.13979,1.13803,93856.7012,1.13846
1.13849,1.141,1.13838,98670.5,1.14067
1.14068,1.14265,1.13922,91672.7988,1.14005
1.13976,1.14075,1.13608,91044.2012,1.13634
1.13643,1.13936,1.13533,309163.0957,1.13703
1.13699,1.13722,1.13254,376644.5,1.13321
1.13315,1.13467,1.13287,94584,1.13343
1.13355,1.13408,1.13233,93398.5,1.13342
1.13363,1.13556,1.13183,89226.0996,1.1346
1.13446,1.13759,1.13429,92214.5,1.13602
1.13629,1.1415,1.13576,307506.1973,1.13824
1.13806,1.13877,1.13617,373646.1094,1.13732
1.13716,1.13838,1.13586,96236.502,1.13606
1.13641,1.13678,1.13501,95202.6992,1.13587
1.13588,1.13784,1.1327,88759.2988,1.13314
1.13292,1.13565,1.13043,93179.498,1.13142
1.13149,1.13472,1.12866,309313.4961,1.13028
1.13023,1.1313,1.12901,376592.8906,1.13083
1.12898,1.12904,1.12788,24383.6992,1.12821
1.12828,1.12893,1.12649,103201.4004,1.12837
1.1285,1.12904,1.12667,105663.4004,1.12754
