,high error,low error,close error,0
2873,84.0390625,128.26171875,29.8359375,29.8359375
2874,8.521484375,30.19140625,116.44140624998545,116.44140624998545
2875,19.7626953125,303.181640625,101.39160156251455,101.39160156251455
2876,5.7490234375,132.97265625,88.8779296875,88.8779296875
2877,2.525390625,288.5634765625,232.3623046875,232.3623046875
2878,32.88769531248545,12.59375,202.54882812501455,202.54882812501455
2879,71.697265625,59.5263671875,87.2861328125,87.2861328125
2880,34.18457031248545,70.5546875,103.99609375,103.99609375
2881,354.9384765625,229.89257812498545,389.94726562498545,389.94726562498545
2882,72.36718749998545,150.06249999998545,141.330078125,141.330078125
2883,201.06640625,133.66015624998545,276.8515625,276.8515625
2884,28.169921875,145.69335937498545,146.7265625,146.7265625
2885,256.11718749998545,61.509765625,0.513671875,0.513671875
2886,18.875,176.23242187498545,235.14843749998545,235.14843749998545
2887,103.0234375,42.3203125,208.34765624998545,208.34765624998545
2888,214.37109375001455,28.753906249985448,97.451171875,97.451171875
2889,66.490234375,255.380859375,436.05859375,436.05859375
2890,108.28124999998545,93.39453125,98.77539062501455,98.77539062501455
2891,56.453125,124.525390625,52.96289062498545,52.96289062498545
2892,29.142578125,78.611328125,0.9394531250145519,0.9394531250145519
2893,8.216796875,13.1171875,138.00195312501455,138.00195312501455
2894,10.609375,2.880859375,53.93945312498545,53.93945312498545
2895,140.224609375,26.341796875,188.54492187501455,188.54492187501455
2896,119.8203125,0.11132812498544808,48.65039062501455,48.65039062501455
2897,82.52539062498545,19.787109375014552,72.595703125,72.595703125
2898,196.95703125,51.123046875,39.25390625001455,39.25390625001455
2899,344.763671875,172.0390625,261.30078124998545,261.30078124998545
2900,173.169921875,249.283203125,49.77343750001455,49.77343750001455
2901,93.5546875,62.830078125,34.916015625,34.916015625
2902,134.9609375,98.962890625,158.970703125,158.970703125
2903,67.38085937501455,87.28125000001455,51.384765625,51.384765625
2904,164.30859375,206.46484375,246.75,246.75
2905,15.3828125,61.265625,96.63867187501455,96.63867187501455
2906,861.48828125,174.283203125,277.701171875,277.701171875
2907,6.33203125,30.853515625,11.943359375,11.943359375
2908,8.576171874985448,127.36328125,18.691406250014552,18.691406250014552
2909,64.69531249998545,100.33203125,19.544921875,19.544921875
2910,34.34765624998545,142.173828125,65.78125000001455,65.78125000001455
2911,84.9453125,68.267578125,32.05078125,32.05078125
2912,97.005859375,131.72265625,57.04882812501455,57.04882812501455
2913,35.30273437501455,87.697265625,124.462890625,124.462890625
2914,24.703125000014552,17.394531249985448,8.759765625,8.759765625
2915,202.947265625,7.1640625,117.0,117.0
2916,0.052734375,15.3203125,44.08984374998545,44.08984374998545
2917,17.939453125,1.791015625,10.09375,10.09375
2918,13.486328125,125.384765625,54.146484375,54.146484375
2919,57.87695312501455,18.169921875,110.39843749998545,110.39843749998545
2920,82.548828125,107.75976562501455,68.8984375,68.8984375
2921,105.17578125,93.716796875,61.2421875,61.2421875
2922,97.392578125,67.0703125,54.169921875,54.169921875
2923,46.1171875,34.29296875,139.26171875001455,139.26171875001455
2924,30.447265625,64.77734375,39.037109375,39.037109375
2925,33.73046875,54.9921875,110.02343750001455,110.02343750001455
2926,40.30078125,65.76171875,168.78125,168.78125
2927,56.9609375,161.35937499998545,10.527343749985448,10.527343749985448
2928,325.14648437501455,6.240234374985448,74.201171875,74.201171875
2929,43.193359375,23.8359375,32.72265625,32.72265625
2930,41.072265625,64.060546875,80.92578125,80.92578125
2931,75.537109375,164.908203125,122.31054687498545,122.31054687498545
2932,205.734375,161.42187500001455,3.154296874985448,3.154296874985448
2933,71.072265625,48.12109375,27.587890625,27.587890625
2934,84.69921875,44.892578125,54.90234375001455,54.90234375001455
2935,63.939453125,60.63671875,53.16796875,53.16796875
2936,50.306640625,53.705078125,117.005859375,117.005859375
2937,124.21093749998545,106.27734375,43.95507812498545,43.95507812498545
2938,26.642578125,21.591796875014552,44.35742187498545,44.35742187498545
2939,65.48632812501455,71.677734375,33.91601562498545,33.91601562498545
2940,10.0859375,41.451171875,96.962890625,96.962890625
2941,149.181640625,19.042968749985448,21.019531249985448,21.019531249985448
2942,7.482421875,59.91015625,23.037109375,23.037109375
2943,37.728515625,124.927734375,5.5546875,5.5546875
2944,42.771484375,9.525390625014552,60.1484375,60.1484375
2945,7.318359374985448,41.8125,9.732421874985448,9.732421874985448
2946,27.763671875,106.193359375,10.3125,10.3125
2947,20.861328125,68.529296875,101.908203125,101.908203125
2948,74.82421875001455,121.78125,46.12890624998545,46.12890624998545
2949,386.05273437501455,74.48828125,59.52343749998545,59.52343749998545
2950,55.47265625,56.09179687498545,60.681640625,60.681640625
2951,166.138671875,9.248046875,99.474609375,99.474609375
2952,171.037109375,16.03515625,88.86328125,88.86328125
2953,74.783203125,258.228515625,106.91992187498545,106.91992187498545
2954,5.09375,18.916015625014552,52.14257812498545,52.14257812498545
2955,136.17578125001455,107.166015625,66.859375,66.859375
2956,52.48632812498545,20.359375,29.853515625,29.853515625
2957,48.91796875,7.03125,103.916015625,103.916015625
2958,37.927734375,33.93945312498545,75.93554687501455,75.93554687501455
2959,36.61328124998545,26.554687499985448,14.73046875,14.73046875
2960,32.294921875,137.548828125,3.78515625,3.78515625
2961,3.998046875,37.146484375,39.814453125,39.814453125
2962,78.208984375,16.216796875,2.37109375,2.37109375
2963,23.6875,74.880859375,5.150390624985448,5.150390624985448
2964,20.896484375,68.447265625,32.888671875,32.888671875
2965,96.03710937498545,1.685546875,11.31640625,11.31640625
2966,41.01171875001455,16.9765625,143.30859375,143.30859375
2967,85.666015625,15.205078124985448,70.80078124998545,70.80078124998545
2968,20.849609375,32.912109375,34.17578125001455,34.17578125001455
2969,14.40234375,78.630859375,171.07421875001455,171.07421875001455
2970,50.85546875001455,12.095703125,117.17968749998545,117.17968749998545
2971,148.130859375,194.14257812501455,46.01953125,46.01953125
2972,76.982421875,52.421875,160.595703125,160.595703125
2973,17.488281249985448,122.650390625,143.572265625,143.572265625
2974,8.7109375,93.31835937498545,155.021484375,155.021484375
2975,157.04687499998545,20.40234375,28.572265625,28.572265625
2976,52.294921875,369.0234375,95.69531250001455,95.69531250001455
2977,409.283203125,90.470703125,179.02734375,179.02734375
2978,68.62890625,209.005859375,91.904296875,91.904296875
2979,85.548828125,1.433593749985448,119.5625,119.5625
2980,175.087890625,189.041015625,96.83593749998545,96.83593749998545
2981,75.6015625,64.96679687501455,8.695312499985448,8.695312499985448
2982,171.36328125,291.04296875,122.84765625,122.84765625
2983,57.072265625,164.583984375,59.720703125,59.720703125
2984,52.591796875,86.513671875,140.90820312498545,140.90820312498545
2985,56.353515625,63.64062500001455,153.8828125,153.8828125
2986,77.09375,81.310546875,50.35742187498545,50.35742187498545
2987,9.011718750014552,166.41796874998545,52.71875000001455,52.71875000001455
2988,71.150390625,100.02929687498545,34.81835937498545,34.81835937498545
2989,3.576171875014552,82.15820312501455,58.935546875,58.935546875
2990,24.669921874985448,249.65820312498545,57.48046875,57.48046875
2991,110.53320312498545,102.47656249998545,170.560546875,170.560546875
2992,18.048828125014552,21.283203125,80.591796875,80.591796875
2993,30.880859375,80.38281250001455,42.564453125,42.564453125
2994,92.14843749998545,66.73632812501455,62.326171875,62.326171875
2995,108.37890625,221.619140625,74.5625,74.5625
2996,129.28906249998545,130.001953125,14.650390625,14.650390625
2997,38.0390625,151.892578125,45.865234375,45.865234375
2998,32.58203125,109.708984375,74.552734375,74.552734375
2999,198.90039062501455,117.3359375,21.955078124985448,21.955078124985448
3000,6.265624999985448,97.4453125,14.648437499985448,14.648437499985448
3001,43.732421875,66.94921875,62.53515625,62.53515625
3002,200.826171875,112.60546875,155.95703125,155.95703125
3003,13.466796875,8.744140625,67.40234375,67.40234375
3004,229.8125,23.060546875,33.2421875,33.2421875
3005,7.427734375,80.478515625,7.28515625,7.28515625
3006,63.822265625,32.80859375001455,85.333984375,85.333984375
3007,106.54687500001455,47.54296874998545,59.09374999998545,59.09374999998545
3008,109.6484375,34.39062500001455,30.1796875,30.1796875
3009,32.6640625,79.77539062498545,36.16796874998545,36.16796874998545
3010,174.75585937501455,2.437499999985448,15.03515625,15.03515625
3011,16.111328125,186.66601562498545,126.0625,126.0625
3012,50.61328125,49.36914062501455,62.025390625,62.025390625
3013,0.4531250000145519,55.58203125,1.910156249985448,1.910156249985448
