,last open10,last high10,last low10,last open9,last high9,last low9,last open8,last high8,last low8,last open7,last high7,last low7,last open6,last high6,last low6,last open5,last high5,last low5,last open4,last high4,last low4,last open3,last high3,last low3,last open2,last high2,last low2,last open1,last high1,last low1,last open,last high,last low,Open,High,Low,Close
43,1.34635,1.35576,1.34459,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36221
44,1.35477,1.35879,1.35324,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36506
45,1.35613,1.36828,1.35497,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36902
46,1.36745,1.36814,1.36612,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37657
47,1.36777,1.36852,1.36303,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37772
48,1.3634,1.36799,1.35698,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37907
49,1.3576,1.36802,1.3557,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38372
50,1.36671,1.3672,1.35883,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38928
51,1.36669,1.37191,1.36158,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.3871
52,1.36276,1.36349,1.36223,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.38728
53,1.36299,1.36541,1.36017,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38585
54,1.36094,1.36256,1.3548,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.38649
55,1.36209,1.36712,1.3566,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39748
56,1.36498,1.37098,1.36308,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39722
57,1.36906,1.37978,1.36601,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.4067
58,1.37681,1.37851,1.37659,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40885
59,1.37743,1.38143,1.37644,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40901
60,1.37906,1.38482,1.37756,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.40704
61,1.38352,1.39141,1.38207,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.41454
62,1.38923,1.39265,1.386,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41263
63,1.38696,1.38947,1.38414,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41544
64,1.3868,1.38727,1.38522,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42656
65,1.38589,1.38899,1.38474,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42672
66,1.3865,1.39889,1.38271,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42299
67,1.39726,1.39867,1.39323,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41517
68,1.39717,1.40993,1.39659,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40961
69,1.40669,1.41195,1.40394,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41342
70,1.40901,1.40938,1.40811,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41336,1.41569,1.40313,1.41336
71,1.40897,1.41293,1.40653,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41336,1.41569,1.40313,1.4134,1.41526,1.41335,1.41481
72,1.4071,1.41628,1.40567,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41336,1.41569,1.40313,1.4134,1.41526,1.41335,1.41468,1.41487,1.40321,1.4044
73,1.4145,1.41556,1.41084,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41336,1.41569,1.40313,1.4134,1.41526,1.41335,1.41468,1.41487,1.40321,1.40434,1.41147,1.40093,1.41049
74,1.41268,1.41892,1.41195,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41336,1.41569,1.40313,1.4134,1.41526,1.41335,1.41468,1.41487,1.40321,1.40434,1.41147,1.40093,1.41067,1.41715,1.40914,1.41373
75,1.41537,1.42772,1.41462,1.42723,1.42808,1.42604,1.42678,1.42751,1.42075,1.42329,1.42389,1.41353,1.41512,1.42012,1.40791,1.40947,1.41488,1.40641,1.41336,1.41569,1.40313,1.4134,1.41526,1.41335,1.41468,1.41487,1.40321,1.40434,1.41147,1.40093,1.41067,1.41715,1.40914,1.4137,1.42402,1.41318,1.41973
